hash,move,score - This file contains all positions with 4 to 6 moves on a 8x7 board.
72903139988144389,4,2
216456469032272133,3,3
217019410395758853,3,-1
216460858488848645,4,0
72903122925715717,4,-3
360570553284756229,3,4
73747547788738821,3,4
72345670412993285,4,2
72346769958174981,3,0
72903122808275222,3,-4
217018315179098373,2,-6
360570553284886789,4,3
144960725436137733,4,4
216455378110578949,6,0
217581260837552389,4,0
72345670463324421,5,5
144399974505971973,3,3
144397766893175045,2,3
144960716896534789,3,5
74029022748672261,3,-1
360571648501416205,3,0
73468271784952069,3,0
72908620366414085,3,5
75717872575381765,3,2
72628244901331205,3,4
73747547738407179,3,3
72353366994387205,3,3
72344579491299589,4,3
73747556328341765,4,5
144399965916168453,3,5
216736835907420933,3,-3
72623855444754693,4,2
360570553301532935,5,-8
217018310917685509,4,-3
73466081351631109,3,5
216459758977220869,4,-3
73749746761662725,3,4
73747547721696005,2,4
72340185722979083,3,-3
144404363962548485,5,5
146086616753045765,3,3
72340224394461445,3,4
72340207197815051,4,-3
72341276644672267,3,2
74030122226745605,3,4
72342389057978629,4,-2
360570553284821255,3,-3
72340185723109643,4,0
72904222370234629,5,2
72341276644802827,3,4
72340185756533003,3,3
72623846854820613,3,3
72340177133044013,3,0
72621652143309067,3,6
72907520854786309,4,-3
216456464720527627,3,0
72340190017945878,2,2
72621652109755147,3,4
72341276678226187,3,6
72340185722978583,3,-5
360570566169657606,3,4
73747547738407685,3,0
72621664994656523,3,2
216455373798834443,3,-5
72340177133047045,3,4
72341276644671767,3,-4
360570561874690311,3,-4
72340177166598422,3,3
144960716846203653,3,2
72342384746234123,4,-2
72340185723110149,3,25
72340185756533509,2,25
72340185722980101,3,4
360572752308011270,4,3
216739034930675973,3,0
72903135676399883,3,-3
144397784055873803,3,4
72341276644803333,3,25
72341276678226693,2,25
72341276644673285,3,7
72341289529573643,4,0
72340177133045259,3,1
72621652109885707,5,0
72621652109756165,3,7
72621652109886213,3,25
72621652143309573,2,25
72903135676400389,3,-2
217862735814263045,5,-2
216455365208901125,3,0
73466077039887109,3,3
216736840185610507,3,0
144397771171103493,3,25
144397771204526853,2,25
216456464720528133,3,0
72340177166599685,3,4
144397771170973445,3,7
72340177133371659,3,2
144397771204526347,3,6
72340177133372165,4,6
72340177133176325,4,4
144399965916037893,3,3
72904226598093573,3,4
72342376156627205,4,6
360570553284755975,0,-3
360570553284755723,3,0
72340185756664069,1,25
72340207197946117,3,24
216736840185611013,3,5
72904226598093067,3,2
73466077039886603,3,-3
72341276645064965,3,18
72341276678357253,1,25
72340185723371781,4,2
72623851133010693,3,5
72623851133010187,3,3
72340177133830405,3,4
72621652110147845,3,17
72621652143440133,1,25
