hash,move,score - This file contains all positions with 4 or 5 moves on a 8x7 board.
144398874977566982,5,4
144679250442715395,4,4
72340211526336770,4,1
73466072745050626,4,3
144397792645808642,4,17
72343479996449026,5,4
216455365242454276,3,6
72904226631647490,3,6
72903135709954306,4,-3
72340177166598409,3,6
72340173039403268,4,6
73747547805516034,3,5
144397767077331202,4,6
72621648032891138,3,6
144397775482781955,4,6
72621648016113922,3,6
72340181428011282,3,7
144397775465940226,3,6
216455360997818628,3,6
72350068476281090,3,6
73466072778473986,4,5
72623851166564610,3,3
144397767094108418,2,7
73466072778473732,4,5
72340198607880708,4,15
288512963541795078,3,8
144397775516270851,3,-3
72626045894852866,2,0
72621673584591108,4,11
72340198607945988,3,7
72342380451267076,3,25
72342380451332356,6,25
144397788350841094,4,6
73466072828805378,3,3
72621669323178242,4,6
144398874977567235,4,6
72342384779788546,5,0
72903131381432836,5,25
72903131381498116,5,25
144397775465939971,4,3
72340177334370562,3,1
73186796825018626,3,3
72342380451266824,0,4
73747556311564548,3,6
72340194312913161,3,3
72906421359935746,3,0
72340198607880456,0,5
144397792645808388,4,18
72341298119508228,4,6
72903131381432584,0,5
288512954985414918,4,8
72623855427977476,4,6
72340181428013570,3,7
72340173039403522,3,5
73466072778539266,3,6
74873447662027010,3,7
72345678986150148,3,6
72340181428011529,5,6
72340198607881218,4,15
72340198607946242,3,7
72340198624657922,2,4
72340181428012292,3,6
72341298119508482,4,6
72621673584591362,4,10
72342380451267586,3,25
72342380451332610,3,5
72340173022626053,3,2
144679250442650115,4,5
72621656404721929,4,6
72623855427977730,2,5
72903131381433346,5,25
72903131381498370,3,6
72342380468044290,2,0
72342380468044036,3,3
216455369503867396,3,6
72903144266334468,3,3
72903131398209796,4,3
144397775465939209,4,7
72340228672651778,4,6
144397775465939462,3,6
73748647266812162,3,5
145242191839691011,2,3
72903131398210050,2,-1
72340181428273412,3,25
144679241886269702,4,6
72340181428601090,4,3
144397775482716675,4,4
216736835924197636,3,5
72340198624657668,3,5
72621656404984066,3,25
72340181444789506,3,2
72340198624723202,1,6
72340228672651524,4,6
216455369520644356,3,3
72340228672717058,4,8
72342380451463426,6,25
72341280939640066,4,6
216455369503867144,0,2
72340181428273666,4,5
72627145406480642,5,6
72903131381629186,5,25
72903131398275330,1,0
144397775466004995,4,5
72344575213109506,3,-4
72341298119573762,4,6
72345678986150402,5,6
72621673584656642,4,7
72342380468109570,1,0
216455382388769028,3,3
144397788350841347,4,5
144397775466135811,4,0
72340181495120132,2,25
72340181495120386,5,25
144398866471518467,4,1
72340194312914178,4,3
72621656404722946,1,3
144398870716154115,6,0
72621656471830786,2,25
72342393336168708,4,4
72342393336234242,4,6
72904230893060356,4,4
72340198658212098,4,6
72340177166860546,2,-4
72340181428076809,4,6
72345679002927362,3,6
72340198608077058,4,6
72340181495185666,2,3
72341280939639049,4,4
73467172256678146,2,2
72340181579006210,3,-2
72903144266400002,3,4
72903144283111682,2,3
73467172290101506,3,3
72903144266334722,4,6
144397775482716422,4,2
144679246181236995,5,0
72342393336168962,4,6
72340181444788489,4,4
144679241886335235,3,0
72340194313175298,4,3
72904230893125890,4,2
73466077073441026,3,0
72340194380022018,4,6
216736844480577796,3,5
144398866421252355,3,0
144397771204591875,3,0
144397775466004742,3,3
72345678986215682,5,5
73747556311564802,3,4
144401065444442371,3,-2
72340181428077826,4,5
216455360947487236,3,6
73747556328341762,4,3
72341280939901186,5,3
72903131431764226,3,-4
144397771254857987,5,0
72340228689428738,4,6
72342393352945922,4,6
72341281006747906,4,1
72344579474522372,3,25
72344579474522626,3,25
72344579474587906,6,25
73747556311630082,4,4
144397779794460931,4,-4
72340224377749762,2,4
72341328184279298,4,6
72341298136285442,4,6
72903170036138242,4,-2
72345691871052034,3,6
72904230909837570,4,2
72343497142763778,4,6
144680341397897475,4,2
73184623538012418,4,11
216456460459114756,5,3
72340224394461442,4,4
73466081334853892,5,25
73466081334854146,5,25
73466081334919426,5,25
72623855428043010,2,3
216455369503932676,4,3
144398866421187075,3,3
